rapper,lyrics
2pac,"With the ready power tucked in my Guess under my Eddie Bauer
Your clout petty, sour, I push packages every hour, hit 'em up"
2pac,"Let the nigga run the street, boo, let him run the streets!
I'd rather run the streets then make some mail"
2pac,"You wonda why we call you bitch
You wonda why we call you bitch"
2pac,"Things'll never be the same (Yeah)
That's just the way it is (The way it is)"
2pac,"We bomb first when we ride
Please reconsider 'fore you die"
2pac,"In case you get scared, just ask the man in the mirror
Now the picture's gettin' clearer"
2pac,"Me and my girlfriend, hustlin'
Fell in love with the struggle"
2pac,"But I can't be there, and will you still care?
Will I cheat or will I be committed? Heaven knows"
2pac,"Might even know how hard it is (No doubt)
Bein' a woman, a black woman at that (No doubt)"
2pac,"This be a thug thing, Outlaw nigga with riches
Cream dreamin', motherfucker, on a mash for bitches"
2pac,"Now If I choose to ride, thuggin' 'til the day I die
Nobody gives a fuck about us"
2pac,"Ahh, I suffered through the years
And shed so many tears"
2pac,"Makaveli the Don, solo
Killuminati, The 7 Days"
2pac,"You wonda why they call you bitch
You wonda why they call you bitch"
2pac,"(You ghetto niggas)
Do you wanna live forever?"
2pac,"Fuck 'em all, watch 'em fall screamin'
Automatic gunfire exorcisin' all demons"
2pac,"'9-6 for Glocks
'Cause fiends hittin' up blocks with street sweepers"
2pac,"Niggas don't like us, because they bitches straight love us
The President told us to leave"
2pac,"Did life do 'em right or did life leave 'em dumb?
Who has the answers? I wonder, I turn to my elders"
2pac,"Jekyll and Hyde, LL when he Rocks the Bells
Forget the TV, I'd rather hit the streets and do graffiti"
2pac,"You can't see me
Been gettin' word that these square motherfuckers with nerves"
2pac,"I'll let them niggas know it's on for life
Don't let the Westside ride tonight (Haha)"
2pac,"'Round and 'round, 'round we go
'Round and 'round, 'round we go, woah"
2pac,"Broken-hearted as I glance at the chalk line, gettin' high
This ain't the life for me, I wanna change"
2pac,"See, the enemies will say they true
But in real life, those niggas will be snitches"
2pac,"More money from the county, and thanks to the welfare
You're about to get your hair done"
2pac,"‘Cause any day, they'll push the button
And all good men like Malcolm X or Bobby Hutton died for nothin'"
2pac,"To be the last motherfucker breathin'
Bustin' my automatic rounds"
2pac,"Will I see the penitentiary, or will I stay free?
It ain't easy bein' me"
2pac,"A made nigga
How many niggas fall in your vision?"
2pac,"I got advice from my father, all he told me was this:
""Nigga, get off your ass if you plan to be rich!"
2pac,"Say my name three times like Candyman
Bet I roll on yo' ass, like an avalanche"
2pac,"And her dad was a junkie, puttin' death into his arms
It's sad, 'cause I bet Brenda doesn't even know"
2pac,"No matter where I go, I see the same hoes
Every other city we go, every other video"
2pac,"Pasadena, where you at?
Yeah, Inglewood"
2pac,"To live and die in L.A., it's the place to be
You've got to be there to know it"
2pac,"And even though you're fed up, huh, you got to keep ya head up
(Keep ya head up)"
2pac,"For my niggas on Death Row
One time for my niggas livin' broke"
2pac,"She didn't know what to throw away and what to keep
She wrapped the baby up and threw him in a trash heap"
2pac,"Give 'em the finger
(Hey, eyy-ayyaahhyy)"
2pac,"Mobbin' like a motherfucker, stuck
Can you put your middle finger out the window"
2pac,"(Ain't nothin' but a gangsta party)
A toast to the gangsters"
2pac,"Now your heart's tooken
My only wish is that you change your mind and he get shook"
2pac,"Niggas at the party with they shotties just as rowdy as me
Before I fear computer chips, I gotta deal with brothers flippin'"
2pac,"Kadafi, Kastro, Napoleon, Khomeini
Haha, we ain't fuckin' around"
2pac,"Tired of gettin' chased by the police and arrested
Niggas need a spot where we can kick it"
2pac,"And the only time we chill is when we kill each other (Kill each other)
It takes skill to be real, time to heal each other"
2pac,"When we ride, motherfuckers is sure to die
Boom once I enter the room, in the air"
2pac,"And we must fight for brother Ruchell Magee
We must fight for brother Geronimo Pratt"
