rapper,lyric
Drake,and they wishin and wishin
Drake,and wishin and wishin they wishin on me
Drake,yeah
Drake,i been movin calm dont start no trouble with me
Drake,tryna keep it peaceful is a struggle for me
Drake,dont pull up at 6 am to cuddle with me
Drake,you know how i like it when you lovin on me
Drake,i dont wanna die for them to miss me
Drake,yes i see the things that they wishin on me
Drake,hope i got some brothers that outlive me
Drake,they gon tell the story shit was different with me
Drake,gods plan gods plan
Drake,i hold back sometimes i wont yeah
Drake,i feel good sometimes i dont 
Drake,i finessed down weston road 
Drake,might go down a god 
Drake,i go hard on southside g 
Drake,i make sure that northside eat
Drake,and still
Drake,bad things
Drake,its a lot of bad things that they wishin and wishin
Drake,and wishin and wishin they wishin on me
Drake,bad things
Drake,its a lot of bad things that they wishin and wishin
Drake,and wishin and wishin they wishin on me
Drake,yeah ayy ayy
Drake,she say do you love me i tell her only partly
Drake,i only love my bed and my mama im sorry
Drake,fifty dub i even got it tatted on me
Drake,eightyone theyll bring the crashers to the party
Drake,and you know me
Drake,turn the o2 into the o3 dog
Drake,without 40 oli thered be no me
Drake,magine if i never met the broskies
Drake,gods plan gods plan
Drake,i cant do this on my own ayy 
Drake,someone watchin this shit close 
Drake,ive been me since scarlett road ayy 
Drake,might go down as god 
Drake,i go hard on southside g 
Drake,i make sure that northside eat yeah
Drake,and still
Drake,bad things
Drake,its a lot of bad things that they wishin and wishin
Drake,and wishin and wishin they wishin on me
Drake,yeah yeah
Drake,bad things
Drake,its a lot of bad things that they wishin and wishin
Drake,and wishin and wishin they wishin on me
Drake,trap trapmoneybenny
Drake,this shit got me in my feelings
Drake,gotta be real with it yeah
Drake,kiki do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want ya and i need ya
Drake,and im down for you always
Drake,kb do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want ya and i need ya
Drake,and im down for you always
Drake,look the new me is really still the real me
Drake,i swear you gotta feel me before they try and kill me
Drake,they gotta make some choices they runnin out of options
Drake,cause ive been goin off and they dont know when its stoppin
Drake,and when you get to toppin i see that youve been learnin
Drake,and when i take you shoppin you spend it like you earned it
Drake,and when you popped off on your ex he deserved it
Drake,i thought you were the one from the jump that confirmed it
Drake,trapmoneybenny ayy
Drake,i buy you champagne but you love some henny
Drake,from the block like you jenny
Drake,i know you special girl cause i know too many
Drake,resha do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want ya and i need ya
Drake,and im down for you always
Drake,jt do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want ya and i need ya
Drake,and im down for you always
Drake,two bad bitches and we kissin in the wraith
Drake,kissinkissin in the wraith kisskissin in the wraith
Drake,i need that black card and the code to the safe
Drake,code to the safe codecode to the safesafe
Drake,i show him how that neck work
Drake,fuck that netflix and chillwhats your netnetnet worth
Drake,cause i want ya and i need ya
Drake,and im down for you always
Drake,yeah yeah yeah yeah he bad
Drake,and im down for you always
Drake,yeah yeah yeah guess whos back
Drake,and im down for you always
Drake,ddown for you al
Drake,black biggy biggy black biggy black blake
Drake,dddown for you always
Drake,i got a new boy and that nigga trade
Drake,kiki do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want you and i need you
Drake,and im down for you always
Drake,kb do you love me are you riding
Drake,say youll never ever leave from beside me
Drake,cause i want ya and i
Drake,skate and smoke and rap
Drake,now let me see you
Drake,bring that ass bring that ass bring that ass back
Drake,bbring that ass bring that ass bring that ass back
Drake,shawty say the nigga that she with cant hit
Drake,but shawty ima hit it hit it like i cant miss
Drake,now let me see you
Drake,clap that ass youre the only one i love
Drake,clap that ass clapclap that ass
Drake,bring that ass back
Drake,clapclapclap that ass youre the only one i love
Drake,lets go lets go lets go
Drake,bring that ass back
Drake,trap trapmoneybenny
Drake,this shit got me in my feelings
Drake,gotta be real with it yup
Drake,blaqnmild you a genius you diggin me
Drake,i dont even care i need a photo with drake
Drake,because my instagram is weak as fuck
Drake,you used to call me on my
Drake,you used to you used to
Drake,yeah
Drake,you used to call me on my cell phone
Drake,latenight when you need my love
Drake,call me on my cell phone
Drake,latenight when you need my love
Drake,and i know when that hotline bling
Drake,that can only mean one thing
Drake,i know when that hotline bling
Drake,that can only mean one thing
Drake,ever since i left the city you
Drake,got a reputation for yourself now
Drake,everybody knows and i feel left out
Drake,girl you got me down you got me stressed out
Drake,cause ever since i left the city you
Drake,started wearing less and goin out more
Drake,glasses of champagne out on the dance floor
Drake,hangin with some girls i never seen before
Drake,you used to call me on my cell phone
Drake,latenight when you need my love
Drake,call me on my cell phone
Drake,latenight when you need my love
Drake,i know when that hotline bling
Drake,that can only mean one thing
Drake,i know when that hotline bling
Drake,that can only mean one thing
Drake,ever since i left the city you you you
Drake,you and me we just dont get along
Drake,you make me feel like i did you wrong
Drake,going places where you dont belong
Drake,ever since i left the city you
Drake,you got exactly what you asked for
Drake,running out of pages in your passport
Drake,hangin with some girls ive never seen before
Drake,you used to call me on my cell phone
Drake,latenight when you need my love
Drake,call me on my cell phone
Drake,latenight when you need my love
Drake,and i know when that hotline bling
Drake,that can only mean one thing
Drake,i know when that hotline bling
Drake,that can only mean one thing
Drake,these days all i do is
Drake,wonder if youre bendin over backwards for someone else
Drake,wonder if youre rolling up a backwoods for someone else
Drake,doing things i taught you gettin nasty for someone else
Drake,you dont need no one else
Drake,you dont need nobody else no
Drake,why you never alone
Drake,why you always touching road
Drake,used to always stay at home
Drake,be a good girl you was in the zone
Drake,yeah you should just be yourself
Drake,right now youre someone else
Drake,you used to call me on my cell phone
Drake,latenight when you need my love
Drake,call me on my cell phone
Drake,latenight when you need my love
Drake,and i know when that hotline bling
Drake,that can only mean one thing
Drake,i know when that hotline bling
Drake,that can only mean one thing
Drake,baby i like your style
Drake,grips on your waist front way back way
Drake,you know that i dont play
Drake,streets not safe but i never run away
Drake,even when im away
Drake,oti oti
Drake,theres never much love when we go ot
Drake,i pray to make it back in one piece
Drake,i pray i pray
